page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first_appearance,year,days_since_first_appearance
511196,Black_Master_Earth616,Black_Master_Earth616,Secret Identity,Bad Characters,,,Male Characters,,False,1,1945-09-01,1945,26737
507726,Blackbeard_Japanese_Spy_Earth616,Blackbeard_Japanese_Spy_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-04-01,1945,26890
709064,Blake_Mobster_Earth616,Blake_Mobster_Earth616,No Dual Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-12-01,1945,26646
510104,Bloody_Baron_Japanese_Earth616,Bloody_Baron_Japanese_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-06-01,1945,26829
510391,Boss_District_Attorney_Earth616,Boss_District_Attorney_Earth616,Secret Identity,Bad Characters,,White Hair,Male Characters,,False,1,1945-08-01,1945,26768
510246,Bret_Labale_Earth616,Bret_Labale_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-07-01,1945,26799
506827,Butch_Cantwell_Earth616,Butch_Cantwell_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-04-01,1945,26890
505630,Captain_Suicide_Earth616,Captain_Suicide_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-03-01,1945,26921
754516,Carter_Blackstone_Earth616,Carter_Blackstone_Earth616,Public Identity,Bad Characters,,Bald,Male Characters,,False,1,1945-04-01,1945,26890
505654,Cat_Woman_Earth616,Cat_Woman_Earth616,Secret Identity,Bad Characters,,Black Hair,Female Characters,,False,1,1945-03-01,1945,26921
507732,CatWoman_Earth616,CatWoman_Earth616,Secret Identity,Bad Characters,,,Female Characters,,False,1,1945-04-01,1945,26890
512491,Chameleon_Breese_Earth616,Chameleon_Breese_Earth616,Secret Identity,Bad Characters,,White Hair,Male Characters,,False,1,1945-12-01,1945,26646
510376,Chiquita_Tarantula_Earth616,Chiquita_Tarantula_Earth616,Public Identity,Bad Characters,,Brown Hair,Female Characters,,False,1,1945-07-01,1945,26799
754545,Chris_Ramsey_Earth616,Chris_Ramsey_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-10-01,1945,26707
