title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress,years_since_released
The True Story of Jesse James,http://www.imdb.com/title/tt0051114/,US,1957,0,Nicholas Ray,1,Jesse James,Criminal,True,White,False,Male,Robert Wagner,61
The Unsinkable Molly Brown,http://www.imdb.com/title/tt0058708/,US,1964,0,Charles Walters,1,Molly Brown,Other,True,White,False,Female,Debbie Reynolds,54
The Visual Bible: The Gospel of John,http://www.imdb.com/title/tt0377992/,Canada/UK,2003,4.07,Philip Saville,1,Jesus,Historical,True,Middle Eastern (White),False,Male,Henry Ian Cusick,15
The Whistleblower,http://www.imdb.com/title/tt0896872/,US/Canada,2010,1.12,Larysa Kondracki,1,Kathryn Bolkovac,Other,True,White,False,Female,Rachel Weisz,8
The Whole Wide World,http://www.imdb.com/title/tt0118163/,US,1996,0.137,Dan Ireland,2,Robert Howard,Author,True,White,False,Male,Vincent D'Onofrio,22
The Whole Wide World,http://www.imdb.com/title/tt0118163/,US,1996,0.137,Dan Ireland,2,Novalyne Price,Author,True,Multi racial,False,Female,RenÌ©e Zellweger,22
The Wings of Eagles,http://www.imdb.com/title/tt0051198/,US,1957,0,John Ford,1,"Frank W. ""Spig"" Wead",Military,False,,False,Male,John Wayne,61
The Winning Team,http://www.imdb.com/title/tt0045332/,US,1952,0,Lewis Seiler,1,Grover Cleveland Alexander,Athlete,True,White,False,Male,Ronald Reagan,66
The Wizard of Speed and Time,http://www.imdb.com/title/tt0081766/,US,1988,0,Mike Jittlov,1,Mike Jittlov,Other,False,,False,Male,Mike Jittlov,30
The Wolf of Wall Street,http://www.imdb.com/title/tt0993846/,US,2013,117.0,Martin Scorsese,1,Jordan Belfort,Criminal,False,,False,Male,Leonardo DiCaprio,5
The Wonderful World of the Brothers Grimm,http://www.imdb.com/title/tt0056700/,US,1961,0,"Henry Levin, George Pal",2,Jacob Grimm,Author,True,White,False,Male,Karlheinz BÌ¦hm,57
The Wonderful World of the Brothers Grimm,http://www.imdb.com/title/tt0056700/,US,1961,0,"Henry Levin, George Pal",2,Wilhelm Grimm,Author,True,White,False,Male,Laurence Harvey,57
The World's Fastest Indian,http://www.imdb.com/title/tt0412080/,US,2005,5.13,Roger Donaldson,1,"Herbert James ""Burt"" Munro",Athlete,True,White,False,Male,Anthony Hopkins,13
The Young Victoria,http://www.imdb.com/title/tt0962736/,US/UK,2009,11.0,Jean-Marc VallÌ©e,1,Victoria,Historical,True,White,False,Female,Emily Bunt,9
They Died with Their Boots On,http://www.imdb.com/title/tt0034277/,US,1941,0,Raoul Walsh,1,George Armstrong Custer,Military,True,White,False,Male,Errol Flynn,77
Thirteen,http://www.imdb.com/title/tt0328538/,US,2003,4.6,Catherine Hardwicke,2,Nikki Reed,Other,True,White,False,Female,Evan Rachel Wood,15
Thirteen,http://www.imdb.com/title/tt0328538/,US,2003,4.6,Catherine Hardwicke,2,Catherine Hardwicke,Other,False,,False,Female,Holly Hunter,15
Thirty Two Short Films About Glenn Gould,http://www.imdb.com/title/tt0108328/,Canada,1993,1.57,FranÌ¤ois Girard,1,Glenn Gould,Musician,True,White,False,Male,Colm Feore,25
This Boy's Life,http://www.imdb.com/title/tt0108330/,US,1993,4.1,Michael Caton-Jones,1,Tobias Wolff,Other,False,,False,Male,Leonardo DiCaprio,25
This Is Elvis,http://www.imdb.com/title/tt0083193/,US,1981,0,"Malcolm Leo, Andrew Solt",1,Elvis Presley,Musician,True,White,False,Male,Multiple,37
Thomas Kinkade's Christmas Cottage,http://www.imdb.com/title/tt0999872/,US,2008,0,Michael Campus,1,Thomas Kinkade,Artist,True,White,False,Male,Jared Padalecki,10
Three Little Words,http://www.imdb.com/title/tt0043044/,US,1950,0,Richard Thorpe,2,Bert Kalmar,Musician,True,White,False,Male,Fred Astaire,68
Three Little Words,http://www.imdb.com/title/tt0043044/,US,1950,0,Richard Thorpe,2,Harry Ruby,Musician,True,White,False,Male,Red Skelton,68
Till the Clouds Roll By,http://www.imdb.com/title/tt0039035/,US,1946,6.72,Richard Whorf,1,Jerome Kern,Musician,True,White,False,Male,Robert Walker,72
To Hell and Back,http://www.imdb.com/title/tt0048729/,US,1955,0,Jesse Hibbs,1,Audie Murphy,Military,True,White,False,Male,Audie Murphy,63
To Kill a King,http://www.imdb.com/title/tt0302436/,UK,2003,0,Mike Barker,2,Oliver Cromwell,Historical,True,White,False,Male,Tim Roth,15
To Kill a King,http://www.imdb.com/title/tt0302436/,UK,2003,0,Mike Barker,2,Thomas Fairfax,Historical,True,White,False,Male,Dougray Scott,15
To Walk with Lions,http://www.imdb.com/title/tt0132563/,Canada/UK,1999,0,Carl Schultz,2,George Adamson,Other,False,,False,Male,Richard Harris,19
To Walk with Lions,http://www.imdb.com/title/tt0132563/,Canada/UK,1999,0,Carl Schultz,2,Tony Fitzjohn,Other,False,,False,Male,John Michie,19
To Write Love on Her Arms,http://www.imdb.com/title/tt1850418/,US,2012,0,Nathan Frankowski,1,Renee Yohe,Other,False,,False,Female,Kat Dennings,6
Tom & Viv,http://www.imdb.com/title/tt0111454/,US/UK,1994,0.539,Brian Gilbert,2,T.S. Eliot,Author,True,White,False,Male,Willem Dafoe,24
Tom & Viv,http://www.imdb.com/title/tt0111454/,US/UK,1994,0.539,Brian Gilbert,2,Vivienne Haigh-Wood,Author,True,White,False,Female,Miranda Richardson,24
Topsy-Turvy,http://www.imdb.com/title/tt0151568/,US/UK,1999,6.2,Mike Leigh,2,Arthur Sullivan,Musician,True,White,False,Male,Allan Corduner,19
Topsy-Turvy,http://www.imdb.com/title/tt0151568/,US/UK,1999,6.2,Mike Leigh,2,William Schwenck Gilbert,Author,True,White,False,Male,Jim Broadbent,19
Total Eclipse,http://www.imdb.com/title/tt0114702/,UK,1995,0.34,Agnieszka Holland,2,Arthur Rimbaud,Author (poet),False,,False,Male,Leonardo DiCaprio,23
Total Eclipse,http://www.imdb.com/title/tt0114702/,UK,1995,0.34,Agnieszka Holland,2,Paul Verlaine,Author (poet),False,,False,Male,David Thewlis,23
Triumph of the Spirit,http://www.imdb.com/title/tt0098513/,US,1989,0.409,Robert M. Young,1,Salamo Arouch,Athlete,True,White,False,Male,Willem Dafoe,29
Tucker: The Man and His Dream,http://www.imdb.com/title/tt0096316/,US,1988,19.7,Francis Ford Coppola,1,Preston Tucker,Other,False,,False,Male,Jeff Bridges,30
Unbroken,http://www.imdb.com/title/tt1809398/,US,2014,116.0,Angelina Jolie,1,Louis Zamperini,Athlete / military,True,White,False,Male,Jack O'Connell,4
Valentino,http://www.imdb.com/title/tt0076868/,US/UK,1977,0,Ken Russell,1,Rudolph Valentino,Actor,True,White,False,Male,Rudolf Nureyev,41
Vatel,http://www.imdb.com/title/tt0190861/,UK,2000,0.0495,Roland JoffÌ©,1,FranÌ¤ois Vatel,Other,True,White,False,Male,GÌ©rard Depardieu,18
Veronica Guerin,http://www.imdb.com/title/tt0312549/,US/UK,2003,1.57,Joel Schumacher,1,Veronica Guerin,Media,True,White,False,Female,Cate Blanchett,15
Vincent & Theo,http://www.imdb.com/title/tt0100873/,UK,1990,2.23,Robert Altman,2,Theo van Gogh,Other,True,White,False,Male,Paul Rhys,28
Vincent & Theo,http://www.imdb.com/title/tt0100873/,UK,1990,2.23,Robert Altman,2,Vincent Van Gogh,Artist,True,White,False,Male,Tim Roth,28
VIPs,http://www.imdb.com/title/tt1235548/,US,2010,0,Toniko Melo,1,Marcelo Nascimento da Rocha,Criminal,True,White,False,Male,Wagner Moura,8
Viva Knievel!,http://www.imdb.com/title/tt0076890/,US,1977,0,Gordon Douglas,1,Evel Knievel,Athlete,True,White,False,Male,Evel Knievel,41
Viva Villa!,http://www.imdb.com/title/tt0025948/,US,1934,1.11,Jack Conway,1,Pancho Villa,Military,True,Hispanic (Latin American),True,Male,Wallace Beery,84
Viva Zapata!,http://www.imdb.com/title/tt0045296/,US,1952,0,Elia Kazan,1,Emiliano Zapata,Activist,True,Hispanic (Latin American),True,Male,Marlon Brando,66
Von Richthofen and Brown,http://www.imdb.com/title/tt0067658/,US,1971,0,Roger Corman,2,Manfred von Richtofen,Military,True,White,False,Male,John Phillip Law,47
Von Richthofen and Brown,http://www.imdb.com/title/tt0067658/,US,1971,0,Roger Corman,2,Roy Brown,Military,True,White,False,Male,Don Stroud,47
W.,http://www.imdb.com/title/tt1175491/,US,2008,25.5,Oliver Stone,1,George W. Bush,World leader,True,White,False,Male,Josh Brolin,10
Walk the Line,http://www.imdb.com/title/tt0358273/,US,2005,120.0,James Mangold,1,Johnny Cash,Musician,True,White,False,Male,Joaquin Phoenix,13
Walker,http://www.imdb.com/title/tt0096409/,US,1987,0.257,Alex Cox,1,William Walker,Other,True,White,False,Male,Ed Harris,31
Walking Tall Part II,http://www.imdb.com/title/tt0073880/,US,1975,0,Earl Bellamy,1,Buford Pusser,Other,False,,False,Male,Bo Svenson,43
What We Do Is Secret,http://www.imdb.com/title/tt0384683/,US,2007,0.0588,Rodger Grossman,1,Darby Crash,Singer,False,,False,Male,Shane West,11
What's Love Got to Do with It,http://www.imdb.com/title/tt0108551/,US,1993,39.1,Brian Gibson,1,Anna Mae Bullock (Tina Turner),Singer,True,Multi racial,True,Female,Angela Bassett,25
When Did You Last See Your Father?,http://www.imdb.com/title/tt0829098/,UK,2007,1.07,Anand Tucker,1,Blake Morrison,Other,True,White,False,Male,Colin Firth,11
Where the Buffalo Roam,http://www.imdb.com/title/tt0081748/,US,1980,0,Art Linson,1,Hunter S. Thompson,Media,False,,False,Male,Bill Murray,38
WhiteLightnin',http://www.imdb.com/title/tt1034419/,UK,2009,0,Dominic Murphy,1,Jesco White,Other,False,,False,Male,Edward Hogg,9
Why Do Fools Fall in Love,http://www.imdb.com/title/tt0123324/,US,1998,12.4,Gregory Nava,1,Frankie Lymon,Musician,True,African American,True,Male,Larenz Tate,20
Wild,http://www.imdb.com/title/tt2305051/,US,2014,37.9,Jean-Marc VallÌ©e,1,Cheryl Strayed,Other,False,,False,Female,Reese Witherspoon,4
Wild Bill,http://www.imdb.com/title/tt0114938/,US,1995,2.17,Walter Hill,1,Wild Bill Hickok,Historical,True,White,False,Male,Jeff Bridges,23
Wilde,http://www.imdb.com/title/tt0120514/,UK,1997,2.16,Brian Gilbert,1,Oscar Wilde,Author,True,White,False,Male,Stephen Fry,21
Wilson,http://www.imdb.com/title/tt0037465/,US,1944,2.0,Henry King,1,Woodrow Wilson,World leader,True,White,False,Male,Alexander Knox,74
Winnie Mandela,http://www.imdb.com/title/tt1551641/,Canada,2011,0,Darrell Roodt,1,Winnie Mandela,Government,True,African,True,Female,Jennifer Hudson,7
Wired,http://www.imdb.com/title/tt0098660/,US,1989,1.09,Larry Peerce,1,John Belushi,Comedian,False,,False,Male,Michael Chiklis,29
With a Song in My Heart,http://www.imdb.com/title/tt0045333/,US,1952,0,Walter Lang,1,Jane Froman,Musician,False,,False,Female,Susan Hayward,66
Without Limits,http://www.imdb.com/title/tt0119934/,US,1998,0.777,Robert Towne,1,Steve Prefontaine,Athlete,True,White,False,Male,Billy Crudup,20
Wittgenstein,http://www.imdb.com/title/tt0108583/,UK,1993,0,Derek Jarman,1,Ludwig Wittgenstein,Academic (Philosopher),True,White,False,Male,Clancy Chassay,25
Words and Music,http://www.imdb.com/title/tt0040976/,US,1948,0,Norman Taurog,2,Lorenz Hart,Musician,True,White,False,Male,Mickey Rooney,70
Words and Music,http://www.imdb.com/title/tt0040976/,US,1948,0,Norman Taurog,2,Richard Rogers,Musician,True,White,False,Male,Tom Drake,70
Wyatt Earp,http://www.imdb.com/title/tt0111756/,US,1994,25.1,Lawrence Kasdan,1,Wyatt Earp,Other,True,White,False,Male,Kevin Costner,24
Yankee Doodle Dandy,http://www.imdb.com/title/tt0035575/,US,1942,0,Michael Curtiz,1,George M. Cohan,Musician,True,White,False,Male,James Cagney,76
Young Bess,http://www.imdb.com/title/tt0046564/,US,1953,0,George Sidney,1,Elizabeth I,Historical,True,White,False,Female,Jean Simmons,65
Young Cassidy,http://www.imdb.com/title/tt0059930/,UK,1965,0,Jack Cardiff,1,Sean O'Casey,Author,True,White,False,Male,Rod Taylor,53
Young Man with a Horn,http://www.imdb.com/title/tt0043153/,US,1950,0,Michael Curtiz,1,Bix Beiderbecke,Musician,True,White,False,Male,Kirk Douglas,68
Young Mr. Lincoln,http://www.imdb.com/title/tt0032155/,US,1939,0,John Ford,1,Abraham Lincoln,World leader,True,White,False,Male,Henry Fonda,79
Young Tom Edison,http://www.imdb.com/title/tt0033289/,US,1940,0,Norman Taurog,1,Thomas Edison,Other,True,White,False,Male,Mickey Rooney,78
Young Winston,http://www.imdb.com/title/tt0069528/,US,1972,0,Richard Attenborough,1,Winston Churchill,World leader,True,White,False,Male,Simon Ward,46
Your Cheatin' Heart,http://www.imdb.com/title/tt0058765/,US,1964,0,Gene Nelson,1,Hank Williams,Musician,False,,False,Male,George Hamilton,54
